id,slug,category,record_type,sku,image_filename,image,publish_status,availability,price,currency,stock_qty,ar_name,ar_short_description,ar_description,ar_specifications,ar_uses,tr_name,tr_short_description,tr_description,tr_specifications,tr_uses,en_name,en_short_description,en_description,en_specifications,en_uses,bg_name,bg_short_description,bg_description,bg_specifications,bg_uses
ps-e3d4dbad4a7348269b08c1d401a219e9,stretch-clear-17um-e3d4dbad,stretch-film,product,,stretch-clear-17um-e3d4dbad.webp,images/products/stretch-clear-17um-e3d4dbad.webp,ready,on_request,,,,استرتش صناعي — 17 ميكرون · وزن القلب الكرتوني: 300 جم · الوزن المذكور؛ الصافي/الإجمالي غير محدد: 1.8 كجم · شفاف,فيلم استرتش لتجميع المنتجات وتغليف الطرود والطبالي.,يُستخدم في أعمال التعبئة والتخزين والشحن. يُختار المقاس وفق حجم العبوة وطريقة اللف، وتُختبر ملاءمته على الحمولة الفعلية. البيانات المحددة لهذا الصنف: السمك: 17 ميكرون; وزن القلب الكرتوني: 300 جم; الوزن المذكور؛ الصافي/الإجمالي غير محدد: 1.8 كجم; اللون: شفاف; النوع التجاري: قياسي.,"[{""key"": ""thickness"", ""label"": ""السمك"", ""value"": ""17 ميكرون""}, {""key"": ""core-weight"", ""label"": ""وزن القلب الكرتوني"", ""value"": ""300 جم""}, {""key"": ""stated-weight"", ""label"": ""الوزن المذكور؛ الصافي/الإجمالي غير محدد"", ""value"": ""1.8 كجم""}, {""key"": ""color"", ""label"": ""اللون"", ""value"": ""شفاف""}, {""key"": ""grade"", ""label"": ""النوع التجاري"", ""value"": ""قياسي""}]","[""تغليف الطرود والطبالي""]",Endüstriyel streç film — 17 µm · Masura ağırlığı: 300 g · Belirtilen ağırlık; net/brüt belirtilmemiş: 1.8 kg · Şeffaf,Ürünleri bir arada tutmak ve koli veya palet sarmak için streç film.,"Paketleme, depolama ve sevkiyat işlemlerinde kullanılır. Ölçü, ambalaj boyutuna ve sarım yöntemine göre seçilir. Uygunluk gerçek yük üzerinde denenmelidir. Bu ürün için belirtilen bilgiler: Kalınlık: 17 µm; Masura ağırlığı: 300 g; Belirtilen ağırlık; net/brüt belirtilmemiş: 1.8 kg; Renk: Şeffaf; Ticari sınıf: Standart.","[{""key"": ""thickness"", ""label"": ""Kalınlık"", ""value"": ""17 µm""}, {""key"": ""core-weight"", ""label"": ""Masura ağırlığı"", ""value"": ""300 g""}, {""key"": ""stated-weight"", ""label"": ""Belirtilen ağırlık; net/brüt belirtilmemiş"", ""value"": ""1.8 kg""}, {""key"": ""color"", ""label"": ""Renk"", ""value"": ""Şeffaf""}, {""key"": ""grade"", ""label"": ""Ticari sınıf"", ""value"": ""Standart""}]","[""Koli ve palet sarımı""]",Industrial stretch film — 17 µm · Core weight: 300 g · Stated weight; net/gross unspecified: 1.8 kg · Clear,Stretch film for bundling products and wrapping cartons or pallets.,"For packing, storage and dispatch operations. Select the size to suit the package and wrapping method, and test suitability on the actual load. Details specified for this item: Thickness: 17 µm; Core weight: 300 g; Stated weight; net/gross unspecified: 1.8 kg; Colour: Clear; Trade grade: Standard.","[{""key"": ""thickness"", ""label"": ""Thickness"", ""value"": ""17 µm""}, {""key"": ""core-weight"", ""label"": ""Core weight"", ""value"": ""300 g""}, {""key"": ""stated-weight"", ""label"": ""Stated weight; net/gross unspecified"", ""value"": ""1.8 kg""}, {""key"": ""color"", ""label"": ""Colour"", ""value"": ""Clear""}, {""key"": ""grade"", ""label"": ""Trade grade"", ""value"": ""Standard""}]","[""Carton and pallet wrapping""]",Индустриално стреч фолио — 17 µm · Тегло на шпулата: 300 g · Посочено тегло; нето/бруто неуточнено: 1.8 kg · Прозрачно,Стреч фолио за групиране на изделия и опаковане на кашони или палети.,"За опаковане, складиране и експедиция. Размерът се избира според опаковката и начина на увиване. Съвместимостта се проверява върху реалния товар. Посочени данни за артикула: Дебелина: 17 µm; Тегло на шпулата: 300 g; Посочено тегло; нето/бруто неуточнено: 1.8 kg; Цвят: Прозрачно; Търговски клас: Стандартно.","[{""key"": ""thickness"", ""label"": ""Дебелина"", ""value"": ""17 µm""}, {""key"": ""core-weight"", ""label"": ""Тегло на шпулата"", ""value"": ""300 g""}, {""key"": ""stated-weight"", ""label"": ""Посочено тегло; нето/бруто неуточнено"", ""value"": ""1.8 kg""}, {""key"": ""color"", ""label"": ""Цвят"", ""value"": ""Прозрачно""}, {""key"": ""grade"", ""label"": ""Търговски клас"", ""value"": ""Стандартно""}]","[""Опаковане на кашони и палети""]"
ps-8e17d3277436406a9b748584ce6a7bb8,stretch-black-23um-100m-8e17d327,stretch-film,product,,stretch-black-23um-100m-8e17d327.webp,images/products/stretch-black-23um-100m-8e17d327.webp,ready,on_request,,,,استرتش صناعي — 23 ميكرون · 100 م · وزن القلب الكرتوني: 400 جم · الوزن المذكور؛ الصافي/الإجمالي غير محدد: 1.45 كجم · أسود,فيلم استرتش لتجميع المنتجات وتغليف الطرود والطبالي.,يُستخدم في أعمال التعبئة والتخزين والشحن. يُختار المقاس وفق حجم العبوة وطريقة اللف، وتُختبر ملاءمته على الحمولة الفعلية. البيانات المحددة لهذا الصنف: السمك: 23 ميكرون; الطول: 100 م; وزن القلب الكرتوني: 400 جم; الوزن المذكور؛ الصافي/الإجمالي غير محدد: 1.45 كجم; اللون: أسود; النوع التجاري: قياسي.,"[{""key"": ""thickness"", ""label"": ""السمك"", ""value"": ""23 ميكرون""}, {""key"": ""length"", ""label"": ""الطول"", ""value"": ""100 م""}, {""key"": ""core-weight"", ""label"": ""وزن القلب الكرتوني"", ""value"": ""400 جم""}, {""key"": ""stated-weight"", ""label"": ""الوزن المذكور؛ الصافي/الإجمالي غير محدد"", ""value"": ""1.45 كجم""}, {""key"": ""color"", ""label"": ""اللون"", ""value"": ""أسود""}, {""key"": ""grade"", ""label"": ""النوع التجاري"", ""value"": ""قياسي""}]","[""تغليف الطرود والطبالي""]",Endüstriyel streç film — 23 µm · 100 m · Masura ağırlığı: 400 g · Belirtilen ağırlık; net/brüt belirtilmemiş: 1.45 kg · Siyah,Ürünleri bir arada tutmak ve koli veya palet sarmak için streç film.,"Paketleme, depolama ve sevkiyat işlemlerinde kullanılır. Ölçü, ambalaj boyutuna ve sarım yöntemine göre seçilir. Uygunluk gerçek yük üzerinde denenmelidir. Bu ürün için belirtilen bilgiler: Kalınlık: 23 µm; Uzunluk: 100 m; Masura ağırlığı: 400 g; Belirtilen ağırlık; net/brüt belirtilmemiş: 1.45 kg; Renk: Siyah; Ticari sınıf: Standart.","[{""key"": ""thickness"", ""label"": ""Kalınlık"", ""value"": ""23 µm""}, {""key"": ""length"", ""label"": ""Uzunluk"", ""value"": ""100 m""}, {""key"": ""core-weight"", ""label"": ""Masura ağırlığı"", ""value"": ""400 g""}, {""key"": ""stated-weight"", ""label"": ""Belirtilen ağırlık; net/brüt belirtilmemiş"", ""value"": ""1.45 kg""}, {""key"": ""color"", ""label"": ""Renk"", ""value"": ""Siyah""}, {""key"": ""grade"", ""label"": ""Ticari sınıf"", ""value"": ""Standart""}]","[""Koli ve palet sarımı""]",Industrial stretch film — 23 µm · 100 m · Core weight: 400 g · Stated weight; net/gross unspecified: 1.45 kg · Black,Stretch film for bundling products and wrapping cartons or pallets.,"For packing, storage and dispatch operations. Select the size to suit the package and wrapping method, and test suitability on the actual load. Details specified for this item: Thickness: 23 µm; Length: 100 m; Core weight: 400 g; Stated weight; net/gross unspecified: 1.45 kg; Colour: Black; Trade grade: Standard.","[{""key"": ""thickness"", ""label"": ""Thickness"", ""value"": ""23 µm""}, {""key"": ""length"", ""label"": ""Length"", ""value"": ""100 m""}, {""key"": ""core-weight"", ""label"": ""Core weight"", ""value"": ""400 g""}, {""key"": ""stated-weight"", ""label"": ""Stated weight; net/gross unspecified"", ""value"": ""1.45 kg""}, {""key"": ""color"", ""label"": ""Colour"", ""value"": ""Black""}, {""key"": ""grade"", ""label"": ""Trade grade"", ""value"": ""Standard""}]","[""Carton and pallet wrapping""]",Индустриално стреч фолио — 23 µm · 100 m · Тегло на шпулата: 400 g · Посочено тегло; нето/бруто неуточнено: 1.45 kg · Черно,Стреч фолио за групиране на изделия и опаковане на кашони или палети.,"За опаковане, складиране и експедиция. Размерът се избира според опаковката и начина на увиване. Съвместимостта се проверява върху реалния товар. Посочени данни за артикула: Дебелина: 23 µm; Дължина: 100 m; Тегло на шпулата: 400 g; Посочено тегло; нето/бруто неуточнено: 1.45 kg; Цвят: Черно; Търговски клас: Стандартно.","[{""key"": ""thickness"", ""label"": ""Дебелина"", ""value"": ""23 µm""}, {""key"": ""length"", ""label"": ""Дължина"", ""value"": ""100 m""}, {""key"": ""core-weight"", ""label"": ""Тегло на шпулата"", ""value"": ""400 g""}, {""key"": ""stated-weight"", ""label"": ""Посочено тегло; нето/бруто неуточнено"", ""value"": ""1.45 kg""}, {""key"": ""color"", ""label"": ""Цвят"", ""value"": ""Черно""}, {""key"": ""grade"", ""label"": ""Търговски клас"", ""value"": ""Стандартно""}]","[""Опаковане на кашони и палети""]"
ps-9bacf55309004748a9ed8d0072dfef76,stretch-black-23um-9bacf553,stretch-film,product,,stretch-black-23um-9bacf553.webp,images/products/stretch-black-23um-9bacf553.webp,ready,on_request,,,,استرتش صناعي — 23 ميكرون · وزن القلب الكرتوني: 400 جم · الوزن المذكور؛ الصافي/الإجمالي غير محدد: 2.6 كجم · أسود,فيلم استرتش لتجميع المنتجات وتغليف الطرود والطبالي.,يُستخدم في أعمال التعبئة والتخزين والشحن. يُختار المقاس وفق حجم العبوة وطريقة اللف، وتُختبر ملاءمته على الحمولة الفعلية. البيانات المحددة لهذا الصنف: السمك: 23 ميكرون; وزن القلب الكرتوني: 400 جم; الوزن المذكور؛ الصافي/الإجمالي غير محدد: 2.6 كجم; اللون: أسود; النوع التجاري: قياسي.,"[{""key"": ""thickness"", ""label"": ""السمك"", ""value"": ""23 ميكرون""}, {""key"": ""core-weight"", ""label"": ""وزن القلب الكرتوني"", ""value"": ""400 جم""}, {""key"": ""stated-weight"", ""label"": ""الوزن المذكور؛ الصافي/الإجمالي غير محدد"", ""value"": ""2.6 كجم""}, {""key"": ""color"", ""label"": ""اللون"", ""value"": ""أسود""}, {""key"": ""grade"", ""label"": ""النوع التجاري"", ""value"": ""قياسي""}]","[""تغليف الطرود والطبالي""]",Endüstriyel streç film — 23 µm · Masura ağırlığı: 400 g · Belirtilen ağırlık; net/brüt belirtilmemiş: 2.6 kg · Siyah,Ürünleri bir arada tutmak ve koli veya palet sarmak için streç film.,"Paketleme, depolama ve sevkiyat işlemlerinde kullanılır. Ölçü, ambalaj boyutuna ve sarım yöntemine göre seçilir. Uygunluk gerçek yük üzerinde denenmelidir. Bu ürün için belirtilen bilgiler: Kalınlık: 23 µm; Masura ağırlığı: 400 g; Belirtilen ağırlık; net/brüt belirtilmemiş: 2.6 kg; Renk: Siyah; Ticari sınıf: Standart.","[{""key"": ""thickness"", ""label"": ""Kalınlık"", ""value"": ""23 µm""}, {""key"": ""core-weight"", ""label"": ""Masura ağırlığı"", ""value"": ""400 g""}, {""key"": ""stated-weight"", ""label"": ""Belirtilen ağırlık; net/brüt belirtilmemiş"", ""value"": ""2.6 kg""}, {""key"": ""color"", ""label"": ""Renk"", ""value"": ""Siyah""}, {""key"": ""grade"", ""label"": ""Ticari sınıf"", ""value"": ""Standart""}]","[""Koli ve palet sarımı""]",Industrial stretch film — 23 µm · Core weight: 400 g · Stated weight; net/gross unspecified: 2.6 kg · Black,Stretch film for bundling products and wrapping cartons or pallets.,"For packing, storage and dispatch operations. Select the size to suit the package and wrapping method, and test suitability on the actual load. Details specified for this item: Thickness: 23 µm; Core weight: 400 g; Stated weight; net/gross unspecified: 2.6 kg; Colour: Black; Trade grade: Standard.","[{""key"": ""thickness"", ""label"": ""Thickness"", ""value"": ""23 µm""}, {""key"": ""core-weight"", ""label"": ""Core weight"", ""value"": ""400 g""}, {""key"": ""stated-weight"", ""label"": ""Stated weight; net/gross unspecified"", ""value"": ""2.6 kg""}, {""key"": ""color"", ""label"": ""Colour"", ""value"": ""Black""}, {""key"": ""grade"", ""label"": ""Trade grade"", ""value"": ""Standard""}]","[""Carton and pallet wrapping""]",Индустриално стреч фолио — 23 µm · Тегло на шпулата: 400 g · Посочено тегло; нето/бруто неуточнено: 2.6 kg · Черно,Стреч фолио за групиране на изделия и опаковане на кашони или палети.,"За опаковане, складиране и експедиция. Размерът се избира според опаковката и начина на увиване. Съвместимостта се проверява върху реалния товар. Посочени данни за артикула: Дебелина: 23 µm; Тегло на шпулата: 400 g; Посочено тегло; нето/бруто неуточнено: 2.6 kg; Цвят: Черно; Търговски клас: Стандартно.","[{""key"": ""thickness"", ""label"": ""Дебелина"", ""value"": ""23 µm""}, {""key"": ""core-weight"", ""label"": ""Тегло на шпулата"", ""value"": ""400 g""}, {""key"": ""stated-weight"", ""label"": ""Посочено тегло; нето/бруто неуточнено"", ""value"": ""2.6 kg""}, {""key"": ""color"", ""label"": ""Цвят"", ""value"": ""Черно""}, {""key"": ""grade"", ""label"": ""Търговски клас"", ""value"": ""Стандартно""}]","[""Опаковане на кашони и палети""]"
ps-32bea90ac5e54b35a2f9509d9f869c43,tape-machine-32bea90a,machinery,product,,tape-machine-32bea90a.webp,images/products/tape-machine-32bea90a.webp,review,on_request,,,,ماكينة أشرطة لاصقة,معدات أشرطة لاصقة حسب متطلبات المشروع.,السجل لا يحدد طراز الماكينة أو وظيفتها الدقيقة. تُحدد عملية التشغيل والطاقة والأبعاد وحالة المعدة في عرض فني منفصل.,[],"[""عمليات الأشرطة اللاصقة حسب التجهيز""]",Bant makinesi,Proje gereksinimlerine göre bant ekipmanı.,"Kayıt, makinenin modelini veya kesin işlevini belirtmez. İşlem türü, güç, ölçüler ve ekipman durumu ayrı teknik teklifte belirlenir.",[],"[""Donanıma göre bant işlemleri""]",Tape machinery,Tape equipment matched to project requirements.,"The record does not identify the machine model or precise function. Process, power, dimensions and condition are established in a separate technical quotation.",[],"[""Tape operations according to equipment configuration""]",Машина за лепящи ленти,Оборудване за лепящи ленти според проекта.,"Записът не определя модела или точната функция. Процесът, мощността, размерите и състоянието се уточняват в отделна техническа оферта.",[],"[""Операции с лепящи ленти според оборудването""]"
ps-e6f6113e8bcf44bdbd4ba700b55e5d39,pallet-e6f6113e,factory-warehouse,product,PMAPLE-001,pallet-e6f6113e.webp,images/products/pallet-e6f6113e.webp,review,on_request,,,,طبلية تخزين ونقل,طبلية لتجميع البضائع ومناولتها.,تُحدد الأبعاد والمادة وقدرة التحمل وحالة الطبلية عند الطلب. لا يُفترض وجود شهادة معالجة أو اعتماد تصدير من اسم الصنف.,[],"[""مناولة وتخزين البضائع""]",Depolama ve taşıma paleti,Yüklerin bir araya getirilmesi ve taşınması için palet.,"Ölçü, malzeme, taşıma kapasitesi ve palet durumu siparişte belirlenir. Ürün adı ısıl işlem belgesi veya ihracat uygunluğu anlamına gelmez.",[],"[""Yük taşıma ve depolama""]",Storage and handling pallet,Pallet for consolidating and handling goods.,"Dimensions, material, load capacity and condition are established at order. The item name does not establish treatment certification or export compliance.",[],"[""Goods handling and storage""]",Палет за складиране и транспорт,Палет за групиране и обработка на товари.,"Размерите, материалът, товароносимостта и състоянието се уточняват при поръчка. Името не удостоверява обработка или пригодност за износ.",[],"[""Обработка и складиране на товари""]"
ps-60ffa86841694b808994e4f3a5e9b1df,stretch-clear-60ffa868,stretch-film,product,DGRGDR-015,stretch-clear-60ffa868.webp,images/products/stretch-clear-60ffa868.webp,ready,on_request,,,,استرتش صناعي,فيلم استرتش لتجميع المنتجات وتغليف الطرود والطبالي.,يُستخدم في أعمال التعبئة والتخزين والشحن. يُختار المقاس وفق حجم العبوة وطريقة اللف، وتُختبر ملاءمته على الحمولة الفعلية.,[],"[""تغليف الطرود والطبالي""]",Endüstriyel streç film,Ürünleri bir arada tutmak ve koli veya palet sarmak için streç film.,"Paketleme, depolama ve sevkiyat işlemlerinde kullanılır. Ölçü, ambalaj boyutuna ve sarım yöntemine göre seçilir. Uygunluk gerçek yük üzerinde denenmelidir.",[],"[""Koli ve palet sarımı""]",Industrial stretch film,Stretch film for bundling products and wrapping cartons or pallets.,"For packing, storage and dispatch operations. Select the size to suit the package and wrapping method, and test suitability on the actual load.",[],"[""Carton and pallet wrapping""]",Индустриално стреч фолио,Стреч фолио за групиране на изделия и опаковане на кашони или палети.,"За опаковане, складиране и експедиция. Размерът се избира според опаковката и начина на увиване. Съвместимостта се проверява върху реалния товар.",[],"[""Опаковане на кашони и палети""]"
ps-a476afe22c7048ffab4a1f4cae51b574,stretch-machine-a476afe2,machinery,product,,stretch-machine-a476afe2.webp,images/products/stretch-machine-a476afe2.webp,review,on_request,,,,ماكينة استرتش,معدات استرتش وفق متطلبات التشغيل.,يُحدد نوع العملية والطراز والتجهيزات قبل تقديم العرض. اسم السجل وحده لا يحدد إن كانت المعدة للّف أو لإنتاج الفيلم.,[],"[""عمليات الاسترتش بحسب نوع المعدة""]",Streç makinesi,İşletme gereksinimlerine göre streç ekipmanı.,"Teklif öncesinde işlem türü, model ve donanım belirlenir. Kayıt adı tek başına ekipmanın sarım veya film üretimi için olduğunu doğrulamaz.",[],"[""Ekipman türüne göre streç işlemleri""]",Stretch film machinery,Stretch film equipment to suit operating requirements.,"Process, model and configuration are established before quotation. The record name alone does not establish whether the equipment is for wrapping or film production.",[],"[""Stretch film operations according to equipment type""]",Машина за стреч фолио,Оборудване за стреч фолио според работните изисквания.,"Преди оферта се уточняват процесът, моделът и оборудването. Името на записа не определя дали машината е за опаковане или производство на фолио.",[],"[""Операции със стреч фолио според машината""]"
ps-9d29c653c02c41a6846e6793b1eda63b,warehouse-supplies-9d29c653,factory-warehouse,product,,warehouse-supplies-9d29c653.webp,images/products/warehouse-supplies-9d29c653.webp,review,on_request,,,,مستلزمات المصانع والمخازن,مستلزمات لتجهيز وتشغيل المصانع والمخازن.,يُحدد نطاق التوريد حسب احتياجات الموقع وطبيعة البضائع. تُراجع الأبعاد والحمولات وتوافق المعدات لكل بند على حدة.,[],"[""التخزين والمناولة وتجهيز مواقع العمل""]",Fabrika ve depo malzemeleri,Fabrika ve depoların donatımı ve işletilmesi için malzemeler.,"Tedarik kapsamı tesisin ve ürünlerin ihtiyaçlarına göre belirlenir. Ölçüler, yükler ve ekipman uyumu her kalem için ayrı değerlendirilir.",[],"[""Depolama, taşıma ve işyeri donatımı""]",Factory and warehouse supplies,Supplies for equipping and operating factories and warehouses.,"The supply scope is set by site and goods requirements. Dimensions, loads and equipment compatibility are reviewed separately for each item.",[],"[""Storage, handling and workplace setup""]",Материали за фабрики и складове,Материали за оборудване и работа на фабрики и складове.,"Обхватът на доставката се определя според обекта и стоките. Размерите, товарите и съвместимостта се оценяват отделно за всеки артикул.",[],"[""Складиране, обработка и оборудване на работни места""]"
ps-f60a9194c27b43e290c518d228a52c20,tape-slitter-f60a9194,machinery,product,,tape-slitter-f60a9194.webp,images/products/tape-slitter-f60a9194.webp,ready,on_request,,,,ماكينة تقطيع أشرطة,ماكينة لتقطيع رولات الأشرطة إلى عروض مناسبة.,تُراجع مادة الرول وعرضه وقطره والتجهيز المطلوب. لا توجد في السجل سرعة تشغيل أو قدرة أو طراز موثق.,[],"[""تقطيع رولات الأشرطة""]",Bant dilimleme makinesi,Bant rulolarını uygun genişliklerde dilimlemek için makine.,"Rulo malzemesi, genişliği, çapı ve gerekli donanım değerlendirilir. Kayıtta doğrulanmış çalışma hızı, kapasite veya model bulunmaz.",[],"[""Bant rulosu dilimleme""]",Tape slitting machine,Machine for slitting tape rolls into suitable widths.,"Review roll material, width, diameter and required configuration. No verified operating speed, capacity or model is provided in the record.",[],"[""Tape roll slitting""]",Машина за разрязване на лепящи ленти,Машина за разрязване на ролки лепящи ленти по ширина.,"Уточняват се материалът, ширината, диаметърът и оборудването. Записът не съдържа потвърдена скорост, капацитет или модел.",[],"[""Разрязване на ролки лепящи ленти""]"
ps-15436027bc344a4dafe1323ec5f31d09,food-stretch-17um-250mm-15436027,food-film,product,,food-stretch-17um-250mm-15436027.webp,images/products/food-stretch-17um-250mm-15436027.webp,ready,on_request,,,,استرتش غذائي — 17 ميكرون · 250 مم · الوزن المذكور؛ الصافي/الإجمالي غير محدد: 1.7 كجم · شفاف,فيلم تغليف ضمن مجموعة الاسترتش الغذائي.,لتغليف صواني وعبوات الأغذية وفق شروط الاستخدام الخاصة بالصنف. تُؤكد ملاءمة ملامسة الغذاء وحدود الحرارة ونوع الغذاء قبل الطلب. البيانات المحددة لهذا الصنف: السمك: 17 ميكرون; العرض: 250 مم; الوزن المذكور؛ الصافي/الإجمالي غير محدد: 1.7 كجم; اللون: شفاف; النوع التجاري: قياسي.,"[{""key"": ""thickness"", ""label"": ""السمك"", ""value"": ""17 ميكرون""}, {""key"": ""width"", ""label"": ""العرض"", ""value"": ""250 مم""}, {""key"": ""stated-weight"", ""label"": ""الوزن المذكور؛ الصافي/الإجمالي غير محدد"", ""value"": ""1.7 كجم""}, {""key"": ""color"", ""label"": ""اللون"", ""value"": ""شفاف""}, {""key"": ""grade"", ""label"": ""النوع التجاري"", ""value"": ""قياسي""}]","[""تغليف صواني وعبوات الأغذية""]",Gıda streç filmi — 17 µm · 250 mm · Belirtilen ağırlık; net/brüt belirtilmemiş: 1.7 kg · Şeffaf,Gıda ambalajı ürün grubunda yer alan streç film.,"Ürüne özgü kullanım koşullarına göre gıda tepsisi ve kaplarının sarımı içindir. Sipariş öncesinde gıda temas uygunluğu, sıcaklık sınırları ve gıda türü doğrulanmalıdır. Bu ürün için belirtilen bilgiler: Kalınlık: 17 µm; Genişlik: 250 mm; Belirtilen ağırlık; net/brüt belirtilmemiş: 1.7 kg; Renk: Şeffaf; Ticari sınıf: Standart.","[{""key"": ""thickness"", ""label"": ""Kalınlık"", ""value"": ""17 µm""}, {""key"": ""width"", ""label"": ""Genişlik"", ""value"": ""250 mm""}, {""key"": ""stated-weight"", ""label"": ""Belirtilen ağırlık; net/brüt belirtilmemiş"", ""value"": ""1.7 kg""}, {""key"": ""color"", ""label"": ""Renk"", ""value"": ""Şeffaf""}, {""key"": ""grade"", ""label"": ""Ticari sınıf"", ""value"": ""Standart""}]","[""Gıda tepsisi ve kaplarının sarımı""]",Food cling film — 17 µm · 250 mm · Stated weight; net/gross unspecified: 1.7 kg · Clear,Wrapping film listed in the food packaging range.,"For wrapping food trays and containers under the conditions specified for the selected item. Confirm food contact suitability, temperature limits and food type before ordering. Details specified for this item: Thickness: 17 µm; Width: 250 mm; Stated weight; net/gross unspecified: 1.7 kg; Colour: Clear; Trade grade: Standard.","[{""key"": ""thickness"", ""label"": ""Thickness"", ""value"": ""17 µm""}, {""key"": ""width"", ""label"": ""Width"", ""value"": ""250 mm""}, {""key"": ""stated-weight"", ""label"": ""Stated weight; net/gross unspecified"", ""value"": ""1.7 kg""}, {""key"": ""color"", ""label"": ""Colour"", ""value"": ""Clear""}, {""key"": ""grade"", ""label"": ""Trade grade"", ""value"": ""Standard""}]","[""Wrapping food trays and containers""]",Стреч фолио за храни — 17 µm · 250 mm · Посочено тегло; нето/бруто неуточнено: 1.7 kg · Прозрачно,Опаковъчно фолио от продуктовата група за храни.,"За увиване на тарелки и съдове при условията за конкретния артикул. Преди поръчка потвърдете пригодността за контакт с храни, температурните граници и вида храна. Посочени данни за артикула: Дебелина: 17 µm; Ширина: 250 mm; Посочено тегло; нето/бруто неуточнено: 1.7 kg; Цвят: Прозрачно; Търговски клас: Стандартно.","[{""key"": ""thickness"", ""label"": ""Дебелина"", ""value"": ""17 µm""}, {""key"": ""width"", ""label"": ""Ширина"", ""value"": ""250 mm""}, {""key"": ""stated-weight"", ""label"": ""Посочено тегло; нето/бруто неуточнено"", ""value"": ""1.7 kg""}, {""key"": ""color"", ""label"": ""Цвят"", ""value"": ""Прозрачно""}, {""key"": ""grade"", ""label"": ""Търговски клас"", ""value"": ""Стандартно""}]","[""Опаковане на тарелки и съдове за храни""]"
